,Author,Date,Firm,Strategist,Stock Allocation %,2009 Close,2009 EPS,2010 Close,2010 EPS,Reweighted Allocation
271,Matt Townsend,2009-05-26,RBC,Myles Zyblock,50.0,1050.0,55.0,,,50.0
272,Matt Townsend,2009-05-26,UBS,David Bianco,50.0,1100.0,51.0,,,57.0
274,Matt Townsend and Lynn Thomasson,2009-05-27,BMO,Ben Joyce,60.0,1050.0,52.0,,,60.0
273,Matt Townsend and Lynn Thomasson,2009-05-27,Bank of America,,50.0,,,,,50.0
275,Matt Townsend and Lynn Thomasson,2009-05-27,Barclays,Barry Knapp,,757.0,41.0,,,
276,Matt Townsend and Lynn Thomasson,2009-05-27,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
277,Matt Townsend and Lynn Thomasson,2009-05-27,Credit Suisse,Andrew Garthwaite,61.0,920.0,49.0,,,61.0
278,Matt Townsend and Lynn Thomasson,2009-05-27,Deutsche Bank,Binky Chadha,60.0,900.0,39.5,,,60.0
279,Matt Townsend and Lynn Thomasson,2009-05-27,Goldman Sachs,David Kostin,,940.0,40.0,,,
280,Matt Townsend and Lynn Thomasson,2009-05-27,HSBC,Kevin Gardiner,27.9,900.0,,,,28.0
281,Matt Townsend and Lynn Thomasson,2009-05-27,JPMorgan,Thomas Lee,60.0,1100.0,57.0,,,60.0
282,Matt Townsend and Lynn Thomasson,2009-05-27,Morgan Stanley,Jason Todd,,825.0,40.0,,,
283,Matt Townsend and Lynn Thomasson,2009-05-27,RBC,Myles Zyblock,50.0,1050.0,55.0,,,50.0
284,Matt Townsend and Lynn Thomasson,2009-05-27,UBS,David Bianco,50.0,1100.0,51.0,,,57.0
286,Lynn Thomasson,2009-06-01,BMO,Ben Joyce,60.0,1050.0,52.0,,,60.0
285,Lynn Thomasson,2009-06-01,Bank of America,David Bianco,50.0,,,,,50.0
287,Lynn Thomasson,2009-06-01,Barclays,Barry Knapp,,757.0,41.0,,,
288,Lynn Thomasson,2009-06-01,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
289,Lynn Thomasson,2009-06-01,Credit Suisse,Andrew Garthwaite,61.0,920.0,49.0,,,61.0
290,Lynn Thomasson,2009-06-01,Deutsche Bank,Binky Chadha,60.0,900.0,39.5,,,60.0
291,Lynn Thomasson,2009-06-01,Goldman Sachs,David Kostin,,940.0,40.0,,,
292,Lynn Thomasson,2009-06-01,HSBC,Kevin Gardiner,27.9,900.0,,,,28.0
293,Lynn Thomasson,2009-06-01,JPMorgan,Thomas Lee,60.0,1100.0,57.0,,,60.0
294,Lynn Thomasson,2009-06-01,Morgan Stanley,Jason Todd,,825.0,40.0,,,
295,Lynn Thomasson,2009-06-01,RBC,Myles Zyblock,50.0,1050.0,55.0,,,50.0
296,Lynn Thomasson,2009-06-01,UBS,,,,,,,
298,Lynn Thomasson,2009-06-02,BMO,Ben Joyce,60.0,1050.0,52.0,,,60.0
